,Artists,Name,Year,Weekly.rank,Week,Max.Weeks.on.chart,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
3914,"Ariana Grande, John Legend",Beauty And The Beast,2017,87,2017-02-25,0,"Ballad,Disney,Musicals,Soundtrack,Pop",0.1288322892545103,0.4306987399770905,0.5148420044685605,0.5454545454545454,0.2015677905994239,0.2492842752624324,2
3915,Young Thug,Wyclef Jean,2016,87,2016-09-17,0,"Atlanta,Trap,Rap",0.1267872946283472,0.8591065292096219,0.5531439514842005,0.4545454545454546,0.5139787466309771,0.8451913900964905,4
3916,Mary J. Blige,Mr. Wrong,2012,87,2012-02-23,9,"Soul,R&;B,Rap",0.1973396092309749,0.6643757159221075,0.6595382487498669,0.0,0.581840272852306,0.4518078676704486,1
3917,Miley Cyrus,Drive,2013,87,2013-10-25,0,Pop,0.05234949023600956,0.5360824742268041,0.6616661346951802,0.09090909090909091,0.5812913611160793,0.2641289364860566,1
3918,Future,Jersey,2015,87,2015-10-16,2,"Trap,Rap",0.5245387494170743,0.7388316151202748,0.4999468028513672,0.4545454545454546,0.6003244130036574,0.293818258933305,3
3919,Slum Village,Tainted,2002,87,2002-08-20,11,Rap,0.01042710039966557,0.9186712485681559,0.4105755931482072,0.8181818181818182,0.2719395086931584,0.6522107941893756,4
3920,Ariana Grande,Goodnight N Go,2018,87,2018-09-01,0,"Trap,Synth-Pop,Electro-Pop,R&;B,Pop",0.02218581950010352,0.6815578465063,0.4233429088200872,0.09090909090909091,0.3838990002405343,0.2174742869260948,1
3921,Miranda Lambert,Famous In A Small Town,2007,87,2007-11-07,8,"Country,Rock",0.2740269077120919,0.4536082474226804,0.9319076497499734,1.0,0.5551039540147651,0.6787191178029901,4
3922,Yeah Yeah Yeahs,Maps,2004,87,2004-04-28,13,"Punk Rock,Indie Rock,Rock",0.0003514118765598708,0.4455899198167239,0.9414831365038834,0.6363636363636364,0.4382967700553229,0.09447566535892271,0
3923,HIM,Wings Of A Butterfly,2006,87,2006-03-15,2,Rock,0.01553958696507337,0.3654066437571593,0.7659325460155335,0.7272727272727273,0.4892098754772138,0.6702364542466335,0
3924,Cold,Stupid Girl,2003,87,2003-07-08,20,"Rock,Nu-Metal,Alternative Metal",0.0001193049864903565,0.3631156930126002,0.8638152994999467,0.0,0.5556281955605993,0.1368889831407062,1
3925,Drake,Come Thru,2013,87,2013-10-11,0,"R&;B,Canada,Rap",0.1625747005862018,0.5097365406643756,0.4382381104372806,0.2727272727272727,0.205126465563498,0.3924292227759517,3
3926,Craig Morgan,This Ole Boy,2012,87,2012-04-27,9,Country,0.07709392521258332,0.547537227949599,0.8765826151718268,1.0,0.4033082725315932,0.663874456579366,4
3927,Trick Daddy,Thug Holiday,2002,87,2002-12-31,9,Rap,0.3803666282725743,0.7491408934707904,0.6361315033514203,0.09090909090909091,0.5510333726000531,0.5419361679567385,1
3928,Lil Wayne,Hustler Musik,2006,87,2006-05-24,6,Rap,0.3701416551417586,0.6277205040091637,0.7340142568358335,0.7272727272727273,0.2172025237604771,0.6819001166366239,4
3929,MIKA,Popular Song,2013,87,2013-09-20,2,"Broadway,UK,Pop",0.1554172193946309,0.6334478808705611,0.8021066070858602,0.7272727272727273,0.3102584819198341,0.8229243982610539,4
3930,One Direction,18,2014,87,2014-11-28,0,"Boy Band,UK,Pop",0.224947036684177,0.6506300114547536,0.5595276093201405,0.5454545454545454,0.4645396850850196,0.1973279609797476,2
3931,Adele,Remedy,2015,87,2015-12-11,0,"UK,Pop",0.9110427337619041,0.3241695303550974,0.2648154058942441,0.1818181818181818,0.7196294537403092,0.2291379493160853,3
3932,Logic,Black SpiderMan,2017,87,2017-05-06,0,"DMV,Race / Ethnicity,Religion,Conscious Hip-Hop,Trap,Rap",0.1124723322452053,0.570446735395189,0.8627513565272901,0.09090909090909091,0.5631834413682089,0.3192662496023752,1
3933,Panic! At The Disco,This Is Gospel,2013,87,2013-08-30,0,"Pop-Rock,Pop,Alternative Rock,Rock",0.00158249864151007,0.5257731958762887,0.9106287902968401,0.6363636363636364,0.6621170723885057,0.6055561446294135,0
3934,Gorillaz,Dare,2006,87,2006-01-11,5,"UK,Electro,Pop",0.02310606708187692,0.7411225658648338,0.88828598787105,1.0,0.4412695279975823,0.987276004665465,4
3935,Ed Sheeran,One,2014,87,2014-05-30,0,"Rock,UK,Pop",0.8967277713787624,0.4020618556701031,0.2818384934567507,0.1818181818181818,0.2763678078685572,0.2874562612660375,3
3936,Taylor Swift,Breathe,2008,87,2008-11-27,0,"Pop Country,Ballad,Adult Contemporary,Country,Pop",0.3813891255856557,0.4410080183276059,0.4573890839451005,0.09090909090909091,0.6120304183447536,0.1432509808079737,3
3937,Young Buck,Get Buck,2007,87,2007-04-11,3,Rap,0.5572586634356843,0.7835051546391752,0.649962761995957,0.09090909090909091,0.1714084828449663,0.6214611387975824,3
3938,NB Ridaz,So Fly,2004,87,2004-08-11,10,Rap,0.1390572623853259,0.856815578465063,0.4924992020427705,0.1818181818181818,0.2050586225399195,0.5133071784540346,1
3939,The Black Keys,Tighten Up,2011,87,2011-01-20,4,"Grunge,Blues Rock,Alternative Rock,Alternative,Rock",0.001234849555062339,0.4478808705612829,0.6903925949569103,0.5454545454545454,0.3715762401396333,0.5642031597921748,0
3940,Lil Skies,Lust,2018,87,2018-06-09,4,"Cloud Rap,Trap,Rap",0.141102257011489,0.693012600229095,0.7563570592616236,0.8181818181818182,0.6868551058042791,0.5133071784540346,0
3941,Khalid,Bad Luck,2019,87,2019-04-20,0,Pop,0.283229383529826,0.3654066437571593,0.4935631450154272,0.09090909090909091,0.7112970969353454,0.2842752624324038,3
